Nama Cabang,Provinsi,Kab/Kota,Cabang
1136.1-G.Makassar - Ahmad Yani (MKSAHM),Sulawesi Selatan,Makassar,MKSAHM
1137.1-G.Jaktim - Pahlawan Revolusi (CKGPAH),Daerah Khusus Ibukota Jakarta,Jakarta Timur,CKGPAH
1138.1-G.Tangsel - Ciputat Jombang (CPTCIP),Banten,Tangerang Selatan,CPTCIP
1139.1-G.Tangerang - Raden Saleh (TNGSAL),Banten,Tangerang,TNGSAL
1140.1-G.Bekasi - Alternatif Cibubur (BKSALT),Jawa Barat,Bekasi,BKSALT
1141.1-G.Sidoarjo - Imam Bonjol (SDAIMA),Jawa Timur,Sidoarjo,SDAIMA
1142.1-G.Ciamis - Jendral Ahmad Yani (CMSAHM),Jawa Barat,Ciamis,CMSAHM
1143.1-G.Sidoarjo - Raya Bringin (SDABRI),Jawa Timur,Sidoarjo,SDABRI
1144.1-G.Lamongan - Panglima Sudirman (LMGSUD),Jawa Timur,Lamongan,LMGSUD
1145.1-G.Jaktim - Bina Marga (CKGBIN),Daerah Khusus Ibukota Jakarta,Jakarta Timur,CKGBIN
1146.1-G.Tangsel - Dr Ir H. Juanda (CPTJUA),Banten,Tangerang Selatan,CPTJUA
1147.1-G.Bogor - Pahlawan (BGRPAH),Jawa Barat,Bogor,BGRPAH
1148.1-G.Tasikmalaya - Siliwangi (SPASIL),Jawa Barat,Tasikmalaya,SPASIL
1149.1-G.Makassar - A.P. Pettarani (MKSPET),Sulawesi Selatan,Makassar,MKSPET
