Nama Cabang,Provinsi,Kab/Kota,Cabang
1212.1-G.Banyuwangi - Dr. Sutomo (BYWSUT),Jawa Timu,Kab. Banyuwangi,BYWSUT
1213.1-G.Jakbar - Tomang Kel. Jatipulo (GGPJAT),DKI Jakarta,Jakarta Barat,GGPJAT
1214.1-G.Bekasi - Raya Pekayon (BKSPEK),Jawa Barat,Bekasi,BKSPEK
1215.1-G.Pemalang - Jendral Sudirman (PMLSUD),Jawa Tengah,Kab. Pemalang,PMLSUD
1216.1-G.Banjarmasin - Hasan Basri (BJMHAS),Kalimantan Selatan,Banjarmasin,BJMHAS
1217.1-G.Serang - Jend. Sudirman (SRGSUD),Jawa Barat,Kab. Serang,SRGSUD
1218.1-G.Bangkalan - Nasional (BKLNAS),Jawa Timur,Kab Bangkalan,BKLNAS
1219.1-G.Tangsel - Dr Setiabudi (CPTSET),Banten,Tangerang Selatan,CPTSET
1220.1-G.Tangerang - Raya Binong (TGRBIN),Banten,Kab Tangerang,TGRBIN
1221.1-G.Jakpus - Proklamasi (TNAPRO),DKI Jakarta,Jakarta Pusat,TNAPRO
1222.1-G.Kotawaringin Barat - Iskandar (PBUISK),Kalimantan Tengah,Kab. Kotawaringin Barat,PBUISK
1223.1-G.Tangerang - Simpang Bitung (TGRSIM),Banten,Kab. Tangerang,TGRSIM
1224.1-G.Bulukumba - Sam Ratulangi (BLKSAM),Sulawesi Selatan,Kab. Bulukumba,BLKSAM
1225.1-G.Tangsel - Raya Cirendeu (CPTCIR),Banten,Tangerang Selatan,CPTCIR
1226.1-G.Jaktim - Raya Pulo Gebang (CKGPUL),DKI Jakarta,Jakarta Timur,CKGPUL
1227.1-G.Tangsel - Kapten Soebijanto (CPTSOE),Banten,Tangerang Selatan,CPTSOE
1228.1-G.Bogor - Raya Puncak Gadog (CBIPUN),Jawa Barat,Kab. Bogor,CBIPUN
1229.1-G.Makassar - Villa Mutiara (MKSVIL),Sulawesi Selatan,Makassar,MKSVIL
1230.1-G.Indramayu - Di Panjaitan (IDMPAN),Jawa Barat,Kab. Indramayu,IDMPAN
1231.1-G.Tegal - Raya Banjaran (SLWBAN),Jawa Tengah,Kab. Tegal,SLWBAN
1232.1-G.Bontang - Imam Bonjol (BONIMA),Kalimantan Timur,Bontang,BONIMA
2901.1-G.Distribution Center (Depo) (DCSMGMUR),Jawa Tengah,Semarang,DCSMGMUR
2902.1-G.DC Hub - Jaksel (DCKYBKEB),DKI Jakarta,Jakarta Selatan,DCKYBKEB
2903.1-G.DC Hub - Bandung (DCBDGGAT),Jawa Barat,Bandung,DCBDGGAT
2904.1-G.DC Hub - Makassar (DCMKSSUT),Sulawesi Selatan,Makassar,DCMKSSUT
2905.1-G.DC Hub - Jakut (DCTJPKIR),DKI Jakarta,Jakarta Utara,DCTJPKIR
2906.1-G.DC Hub - Balikpapan (DCBPPSYA),Kalimantan Timur,Balikpapan,DCBPPSYA
2907.1-G.DC Hub – Banjarmasin (DCBJMBAN),Kalimantan Selatan,Banjarmasin,DCBJMBAN
5001.11-G.CKMLGSUJ.RM - PELTU (RMCK1),Jawa Timur,Malang,RMCK1
5001.12-G.CKMLGSUJ.PRD - PELTU (PRDCK1),Jawa Timur,Malang,PRDCK1
5001.13-G.CKMLGSUJ.WH - PELTU (WHCK1),Jawa Timur,Malang,WHCK1
5001.21-G.SULFAT.RM (RMSULFAT),Jawa Timur,Malang,RMSULFAT
5001.22-G.SULFAT.PRD (PRDSULFAT),Jawa Timur,Malang,PRDSULFAT
5001.23-G.SULFAT.EQ (EQSULFAT),Jawa Timur,Malang,EQSULFAT
5002.11-G.CKMLGARD.RM (RMCK2),Jawa timur,,RMCK2
5002.12-G.CKMLGARD.PRD (PRDCK2),Jawa Timur,,PRDCK2
5002.13-G.CKMLGARD.WH (WHCK2),Jawa Timur,,WHCK2
5002.23-G.CKMLGARD.EQ (EQSINGO),Jawa Timur,,EQSINGO
5003.11-G.CKMJLKER.RM (RMCK3),Jawa Barat,Majalengka,RMCK3
5003.12-G.CKMJLKER.PRD (PRDCK3),Jawa Barat,Majalengka,PRDCK3
5003.13-G.CKMJLKER.WH (WHCK3),Jawa Barat,Majalengka,WHCK3
9100.1-G.MBS - Central Kitchen (MBS-CK),Bali,Denpasar,MBS-CK
9101.1-G.MBS - Bali - Pakerisan (BALI1),Bali,Denpasar,BALI1
9102.1-G.MBS - Bali - Mahendra (BALI2),Bali,Denpasar,BALI2
9103.1-G.MBS - Bali - Renon (BALI3),Bali,Denpasar,BALI3
9104.1-G.MBS - Bali - Gatsu (BALI4),Bali,Denpasar,BALI4
9105.1-G.MBS - Bali - Dalung (BALI5),Bali,Badung,BALI5
9106.1-G.MBS - Bali - Batu Bulan (BALI6),Bali,Gianyar,BALI6
9107.1-G.MBS - Bali - Jimbaran (BALI7),Bali,Badung,BALI7
9108.1-G.MBS - Bali - Tabanan (BALI8),Bali,Tabanan,BALI8
9109.1-G.MBS - Bali - Dewi Sri (BALI9),Bali,Badung,BALI9
9110.1-G.MBS - Bali -  Sesetan (BALI10),Bali,Denpasar,BALI10
9111.1-G.MBS - Bali -  Singaraja (BALI11),Bali,Buleleng,BALI11
9112.1-G.MBS - Bali - Kuta (BALI12),Bali,Badung,BALI12
9113.1-G.MBS - Bali - Canggu (BACAN),Bali,Badung,BACAN
9114.1-G.MBS - Bali - Kedonganan (BAKED),Bali,Badung,BAKED
9115.1.G.MBS - Medan - Dr Mansyur (MEMAN) (MEDAN1),Sumatera Utara,Medan,MEDAN1
9116.1-G.MBS - Bali - Negara (BANEG),Bali,Jembrana,BANEG
9117.1-G.MBS - Bali - Gianyar (BAGIN),Bali,Gianyar,BAGIN
9118.1-G.MBS - Medan - Karya (MEDKAR),Sumatera Utara,Medan,MEDKAR
9119.1-G.MBS - Medan - Mongonsidi (MEDMON),Sumatera Utara,Medan,MEDMON
9120.1-G.MBS - Medan - Marelan (MEDMAR),Sumatera Utara,Medan,MEDMAR
9121.1-G.MBS - Palembang - Dahlan (PALDAH),Sumatera Selatan,Palembang,PALDAH
9122.1-G.MBS - Pekanbaru - Panam (PEKPAN),Riau,Pekanbaru,PEKPAN
9200.1-G.PPnA - Central Kitchen (PPnA-CK),Jawa Tengah,Kab. Sukoharjo,PPnA-CK
9201.1-G.PPnA - Salatiga (SLT),Jawa Tengah,Salatiga,SLT
